OTTMUST00000028370.1;pct;19;22;24;7;22;17;27;25;46;66;34;8;8;10;9;3;6;3;9;9;8;4;6;6;5;2;5;4;2;5;728;1907;1168;1179;0.279119318181818;4224
OTTMUST00000097932.2;pct;1;9;3;2;1;8;13;8;22;12;18;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;1;0;2;39;915;1056.5;876;0.956331877729258;916
OTTMUST00000049273.2;pct;2;3;6;3;1;2;6;6;9;9;10;0;2;0;1;0;1;1;1;1;0;0;1;0;0;2;1;1;2;3;71;443;547;372;0.640275387263339;581
OTTMUST00000021734.2;pct;15;42;15;34;18;21;35;29;63;69;64;5;10;6;6;4;10;1;5;3;4;4;2;5;14;8;2;5;4;18;986;1490;572;504;0.138195777351248;3647
OTTMUST00000044171.3;pct;0;2;9;3;8;4;12;3;10;15;9;5;0;5;2;0;1;3;5;1;2;0;1;2;5;2;1;0;3;0;252;354;254;102;0.135458167330677;753
OTTMUST00000040942.1;pct;3;3;11;3;12;5;10;10;16;46;28;0;2;5;5;2;2;1;2;3;4;0;3;0;3;0;1;0;1;2;143;1562;1617.5;1419;0.778814489571899;1822
OTTMUST00000041570.3;pct;10;7;9;5;11;6;15;27;27;51;32;5;14;3;4;1;4;1;8;5;6;2;4;2;5;2;2;1;3;3;137;1952;1949;1815;0.769393810936838;2359
OTTMUST00000156954.1;pct;12;6;10;6;18;6;15;14;23;23;18;3;6;6;2;3;3;1;0;1;5;5;0;2;5;3;4;2;2;4;198;882;773;684;0.515060240963855;1328
OTTMUST00000150591.1;pct;2;2;2;0;0;2;6;5;2;8;8;1;2;1;3;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;183;597;548.5;414;0.691151919866444;599
OTTMUST00000056298.1;pct;9;19;15;13;16;19;31;31;64;68;68;10;11;7;9;1;10;1;7;5;3;7;6;3;12;4;5;4;6;14;72;1293;1421;1221;0.314690721649485;3880
OTTMUST00000148520.1;pct;0;3;1;5;1;5;10;6;8;6;9;1;0;0;0;0;2;0;0;0;0;1;0;0;2;0;1;1;1;2;74;119;245;45;0.0767918088737201;586
OTTMUST00000114543.1;pct;1;1;1;3;4;4;8;8;10;13;18;0;3;2;0;1;2;0;1;0;1;0;0;2;2;1;0;0;2;2;162;762;800;600;0.651465798045603;921
OTTMUST00000049559.1;pct;0;1;4;4;2;3;4;4;6;7;7;0;0;2;0;1;2;0;0;1;0;1;0;0;1;2;0;0;0;0;31;259;416;228;0.74025974025974;308
OTTMUST00000117780.2;pct;1;2;4;3;8;4;10;10;10;19;15;1;0;4;2;1;1;1;0;1;0;0;0;1;3;1;2;0;0;2;256;829;622.5;573;0.689530685920578;831
OTTMUST00000052168.2;pct;13;5;19;9;20;3;10;21;19;27;30;9;6;2;4;5;2;3;4;5;1;11;5;1;2;2;9;9;2;1;245;1808;1685;1563;0.800307219662058;1953
OTTMUST00000039739.1;pct;16;10;15;8;21;21;27;25;35;59;48;8;10;2;5;2;6;2;4;1;4;7;11;6;15;3;3;7;4;2;170;1430;1309;1260;0.360205831903945;3498
OTTMUST00000112259.2;pct;6;4;11;12;11;8;18;8;18;26;18;4;4;5;3;1;1;1;5;2;4;3;8;2;1;1;4;3;3;1;292;685;515;393;0.319252640129976;1231
OTTMUST00000016610.1;pct;6;29;19;22;22;26;45;51;65;49;64;5;7;7;5;9;10;0;4;4;11;3;4;2;12;5;6;3;3;10;141;1206;1265;1065;0.326386760649709;3263
OTTMUST00000039419.2;pct;4;1;8;2;7;5;5;8;11;34;23;3;3;6;2;2;2;0;1;5;0;0;2;4;4;2;2;2;4;2;111;1116;1205;1005;0.770114942528736;1305
OTTMUST00000059659.2;pct;4;6;12;6;18;7;19;17;17;32;17;4;8;11;5;3;0;0;7;4;2;4;1;3;2;1;2;1;3;2;430;1660;1106;1230;0.718457943925234;1712
OTTMUST00000080240.1;pct;12;7;23;5;30;8;27;36;45;56;44;10;12;10;8;5;1;1;5;7;3;9;4;5;4;8;7;4;6;3;90;2277;2387;2187;0.672509225092251;3252
OTTMUST00000025665.1;pct;4;2;9;7;5;7;4;14;15;28;14;2;5;3;3;0;1;0;1;3;4;0;1;3;5;3;1;2;1;1;41;1241;1400;1200;0.865800865800866;1386
OTTMUST00000054148.2;pct;4;3;8;1;9;2;2;7;11;16;10;2;2;4;2;1;2;0;1;2;2;2;2;2;0;1;0;1;1;1;506;1010;585;504;0.498516320474777;1011
OTTMUST00000043114.2;pct;1;1;3;0;2;2;2;3;5;15;7;2;0;2;0;0;0;0;2;1;2;0;2;2;3;0;0;0;2;0;77;512;577.5;435;0.847953216374269;513
OTTMUST00000069904.1;pct;5;10;9;6;16;7;16;22;27;25;23;3;5;3;7;6;6;2;2;2;2;2;2;2;1;2;1;2;4;3;45;1020;1175;975;0.662364130434783;1472
OTTMUST00000112511.4;pct;1;33;15;42;14;45;106;85;79;104;118;1;17;4;3;1;31;4;1;2;2;3;1;1;12;1;3;4;2;25;235;2305;2181.5;2070;0.335820895522388;6164
OTTMUST00000151324.1;pct;6;1;8;2;17;4;6;15;14;22;13;3;3;1;4;1;2;3;6;2;0;3;7;4;1;1;4;5;1;2;116;1553;1637;1437;0.854340071343639;1682
OTTMUST00000048432.1;pct;5;37;32;38;26;20;47;37;64;37;38;13;14;3;19;3;11;7;8;12;3;6;9;4;13;11;11;6;6;9;10;1390;1580;1380;0.380165289256198;3630
OTTMUST00000072591.1;pct;4;9;11;15;16;8;33;38;33;44;44;3;7;4;5;2;4;1;4;4;3;3;1;2;1;6;5;3;2;7;188;2813;2765;2625;0.875291763921307;2999
OTTMUST00000098031.1;pct;12;23;22;36;28;28;41;28;68;66;58;6;6;9;9;2;12;2;10;8;8;9;8;9;10;7;8;16;5;9;52;1078;1126;1026;0.263617677286742;3892
OTTMUST00000047992.1;pct;7;25;14;18;34;20;64;65;52;136;85;14;17;5;9;9;3;5;6;6;7;6;3;3;7;2;5;7;7;8;172;4357;4385;4185;0.814043960319004;5141
OTTMUST00000072730.3;pct;2;1;2;1;1;3;6;6;10;11;14;1;2;2;0;0;0;1;1;1;0;1;0;0;3;0;2;3;0;2;159;783;720;624;0.795918367346939;784
OTTMUST00000154692.1;pct;2;2;0;1;0;3;3;5;3;11;10;0;3;0;0;0;2;1;0;0;1;0;0;1;1;0;0;0;0;2;163;229;254;66;0.127167630057803;519
OTTMUST00000071033.4;pct;7;39;24;26;13;39;70;53;96;108;106;9;16;5;7;3;14;2;4;4;4;5;7;4;11;5;3;3;5;18;51;1623;1772;1572;0.291705325663388;5389
OTTMUST00000058513.2;pct;7;55;27;39;22;38;80;56;114;92;102;4;13;7;10;3;25;4;9;7;6;4;9;6;16;6;5;3;1;16;276;1851;1775;1575;0.274294670846395;5742
OTTMUST00000001102.2;pct;0;13;2;4;1;9;17;17;15;11;17;0;4;0;0;0;4;0;0;0;1;0;0;0;2;0;0;0;0;0;0;927;1127;927;0.927;1000
OTTMUST00000136426.1;pct;1;7;9;24;3;8;26;31;38;34;55;4;9;2;3;0;4;1;3;2;1;1;3;0;1;1;2;0;1;6;13;2401;2588;2388;0.983525535420099;2428
OTTMUST00000077897.1;pct;12;70;34;49;37;50;138;82;120;173;131;17;28;14;4;6;17;4;8;12;5;9;6;9;9;8;10;6;2;17;489;4608;4286;4119;0.440252244548953;9356
OTTMUST00000091879.2;pct;7;2;6;1;10;3;11;11;11;27;15;3;1;7;4;2;1;2;3;10;4;1;2;2;1;2;1;1;4;3;318;1227;1021;909;0.676842889054356;1343
OTTMUST00000076003.4;pct;22;11;30;30;34;21;45;48;51;160;93;9;10;23;7;7;7;2;11;6;11;6;11;13;5;4;11;15;7;9;457;5398;4984.5;4941;0.870047543581617;5679
OTTMUST00000039047.2;pct;23;86;38;57;31;61;129;71;133;155;112;20;16;20;22;2;21;4;16;19;7;11;8;15;14;14;10;14;6;14;1525;2788;1234;1263;0.152095375722543;8304
