Transcript ID	Prediction	Noncoding Score
OTTMUST00000059517.1	noncoding	0.8924
OTTMUST00000098192.2	coding	0.1227
OTTMUST00000057648.2	noncoding	0.9474
OTTMUST00000097496.2	coding	0.1294
OTTMUST00000039250.1	noncoding	0.6765
OTTMUST00000031351.1	noncoding	0.6757
OTTMUST00000149018.1	noncoding	0.8668
OTTMUST00000081197.1	noncoding	0.9489
OTTMUST00000057860.1	noncoding	0.6034
OTTMUST00000041494.1	noncoding	0.9640
OTTMUST00000056373.2	noncoding	0.7108
OTTMUST00000059045.1	noncoding	0.8084
OTTMUST00000067411.2	noncoding	0.9240
OTTMUST00000058672.1	noncoding	0.8423
OTTMUST00000129726.1	noncoding	0.9657
OTTMUST00000093998.2	noncoding	0.9023
OTTMUST00000036812.3	coding	0.2996
OTTMUST00000097433.1	noncoding	0.6510
OTTMUST00000023049.2	noncoding	0.6663
OTTMUST00000103158.1	noncoding	0.9054
OTTMUST00000152499.1	noncoding	0.6415
OTTMUST00000035562.2	noncoding	0.8970
OTTMUST00000115982.1	noncoding	0.9328
OTTMUST00000073159.1	noncoding	0.7737
OTTMUST00000071902.2	coding	0.1226
OTTMUST00000045368.1	noncoding	0.9641
OTTMUST00000068511.2	noncoding	0.9253
OTTMUST00000026121.1	coding	0.2124
OTTMUST00000055224.1	coding	0.3228
OTTMUST00000062080.1	noncoding	0.7366
OTTMUST00000128245.1	coding	0.0000
OTTMUST00000066357.1	noncoding	0.9238
OTTMUST00000078440.1	noncoding	0.6698
OTTMUST00000001072.2	coding	0.0932
OTTMUST00000050977.2	coding	0.0715
OTTMUST00000143506.1	noncoding	0.8160
OTTMUST00000054239.1	noncoding	0.9452
OTTMUST00000037600.1	noncoding	0.7499
OTTMUST00000103422.2	noncoding	0.8739
OTTMUST00000079268.3	noncoding	0.6339
OTTMUST00000125906.1	noncoding	0.8944
OTTMUST00000016270.4	coding	0.0821
OTTMUST00000040295.2	coding	0.3394
OTTMUST00000080894.1	noncoding	0.8486
OTTMUST00000069481.6	noncoding	0.8212
OTTMUST00000089370.1	noncoding	0.6315
OTTMUST00000065602.2	noncoding	0.7105
OTTMUST00000063934.1	noncoding	0.8157
OTTMUST00000128713.2	noncoding	0.7950
OTTMUST00000075615.1	noncoding	0.7452
OTTMUST00000111655.1	noncoding	0.5994
OTTMUST00000123314.1	coding	0.2169
OTTMUST00000103540.2	noncoding	0.8663
OTTMUST00000133882.1	noncoding	0.8732
OTTMUST00000154828.1	noncoding	0.8107
OTTMUST00000055146.1	coding	0.2937
OTTMUST00000152393.1	coding	0.3602
OTTMUST00000128602.1	coding	0.0000
OTTMUST00000087987.1	coding	0.2953
OTTMUST00000061858.2	noncoding	0.9358
OTTMUST00000091496.1	noncoding	0.8634
OTTMUST00000081757.3	noncoding	0.6886
OTTMUST00000090164.2	noncoding	0.9352
OTTMUST00000104265.1	noncoding	0.9352
OTTMUST00000026562.1	noncoding	0.8920
OTTMUST00000081894.1	noncoding	0.5124
OTTMUST00000038215.1	noncoding	0.9089
OTTMUST00000126694.1	noncoding	0.9670
OTTMUST00000074339.1	noncoding	0.8913
OTTMUST00000048594.1	noncoding	0.9057
OTTMUST00000159991.1	noncoding	0.7676
OTTMUST00000103240.1	noncoding	0.9083
OTTMUST00000051835.1	coding	0.0057
OTTMUST00000150986.1	noncoding	0.9337
OTTMUST00000096496.1	coding	0.0294
OTTMUST00000070408.1	noncoding	0.6705
OTTMUST00000143063.1	noncoding	0.6962
OTTMUST00000148673.2	noncoding	0.9459
OTTMUST00000110744.2	noncoding	0.8902
OTTMUST00000147112.3	noncoding	0.9246
OTTMUST00000110408.1	noncoding	0.9020
OTTMUST00000011990.1	coding	0.3978
OTTMUST00000103211.3	noncoding	0.8683
OTTMUST00000063445.2	noncoding	0.8975
OTTMUST00000054095.2	noncoding	0.7350
OTTMUST00000152660.1	noncoding	0.8143
OTTMUST00000038666.3	noncoding	0.8093
OTTMUST00000045768.1	coding	0.2669
OTTMUST00000089888.1	noncoding	0.8635
OTTMUST00000051841.3	noncoding	0.9061
OTTMUST00000091927.1	noncoding	0.8471
OTTMUST00000057802.1	coding	0.3219
OTTMUST00000081285.2	coding	0.3368
OTTMUST00000087216.2	noncoding	0.8359
OTTMUST00000111259.1	noncoding	0.9013
OTTMUST00000066879.1	noncoding	0.8521
OTTMUST00000148048.1	noncoding	0.8582
OTTMUST00000041418.2	noncoding	0.7237
OTTMUST00000080904.3	noncoding	0.8758
OTTMUST00000032594.5	noncoding	0.8638
OTTMUST00000155760.1	noncoding	0.9415
OTTMUST00000068231.1	coding	0.3204
OTTMUST00000029166.2	noncoding	0.9220
OTTMUST00000055898.1	noncoding	0.8735
OTTMUST00000097226.2	coding	0.4241
OTTMUST00000040432.2	noncoding	0.8609
OTTMUST00000093804.2	noncoding	0.7711
OTTMUST00000140896.1	noncoding	0.9643
