Transcript ID	Prediction	Noncoding Score
OTTMUST00000140671.1	noncoding	0.8321
OTTMUST00000037198.1	noncoding	0.7758
OTTMUST00000130410.1	noncoding	0.9380
OTTMUST00000149023.1	noncoding	0.9358
OTTMUST00000080981.2	noncoding	0.9587
OTTMUST00000123307.1	noncoding	0.8749
OTTMUST00000157585.1	noncoding	0.9186
OTTMUST00000119128.1	noncoding	0.8991
OTTMUST00000111547.1	noncoding	0.8547
OTTMUST00000133862.1	noncoding	0.9639
OTTMUST00000017551.1	noncoding	0.9650
OTTMUST00000127615.1	noncoding	0.9733
OTTMUST00000043698.1	noncoding	0.8479
OTTMUST00000144945.1	noncoding	0.9685
OTTMUST00000002742.1	noncoding	0.9783
OTTMUST00000126979.1	noncoding	0.9565
OTTMUST00000159336.1	noncoding	0.9575
OTTMUST00000016878.1	noncoding	0.9553
OTTMUST00000154672.1	noncoding	0.9735
OTTMUST00000119146.1	noncoding	0.9705
OTTMUST00000087895.1	noncoding	0.9332
OTTMUST00000148712.2	noncoding	0.9322
OTTMUST00000125404.1	noncoding	0.9167
OTTMUST00000123786.1	noncoding	0.9803
OTTMUST00000146264.1	noncoding	0.9506
OTTMUST00000048004.1	noncoding	0.9304
OTTMUST00000113145.2	noncoding	0.9319
OTTMUST00000157513.1	noncoding	0.9719
OTTMUST00000121904.1	noncoding	0.8348
OTTMUST00000113030.1	noncoding	0.9389
OTTMUST00000007099.1	noncoding	0.9672
OTTMUST00000149971.1	noncoding	0.9534
OTTMUST00000159111.1	noncoding	0.8691
OTTMUST00000152669.1	noncoding	0.9622
OTTMUST00000123124.1	noncoding	0.9484
OTTMUST00000129056.1	noncoding	0.9447
OTTMUST00000141711.1	noncoding	0.9458
OTTMUST00000112758.1	noncoding	0.9724
OTTMUST00000143090.1	noncoding	0.7841
OTTMUST00000113024.1	noncoding	0.9469
OTTMUST00000136188.1	noncoding	0.6749
OTTMUST00000153784.1	noncoding	0.9553
OTTMUST00000154524.1	noncoding	0.9799
OTTMUST00000137318.1	noncoding	0.9949
OTTMUST00000133146.1	noncoding	0.8399
OTTMUST00000125195.1	noncoding	0.9668
OTTMUST00000145482.1	noncoding	0.9600
OTTMUST00000026861.1	noncoding	0.7759
OTTMUST00000113550.1	noncoding	0.9898
OTTMUST00000144970.1	noncoding	0.9326
OTTMUST00000152859.1	noncoding	0.9861
OTTMUST00000120904.1	noncoding	0.9564
OTTMUST00000126051.1	noncoding	0.8834
OTTMUST00000125317.1	noncoding	0.9494
OTTMUST00000042391.1	noncoding	0.9799
OTTMUST00000070697.1	noncoding	0.9205
OTTMUST00000015485.1	noncoding	0.9297
OTTMUST00000096772.1	noncoding	0.9196
OTTMUST00000080437.1	noncoding	0.9266
OTTMUST00000157667.1	noncoding	0.9628
OTTMUST00000122397.1	noncoding	0.9485
OTTMUST00000139398.1	noncoding	0.8885
OTTMUST00000040127.1	noncoding	0.9428
OTTMUST00000125612.1	noncoding	0.9557
OTTMUST00000128113.1	noncoding	0.9252
OTTMUST00000157738.1	noncoding	0.9685
OTTMUST00000131212.1	noncoding	0.9659
OTTMUST00000124721.1	coding	0.4188
OTTMUST00000138667.1	noncoding	0.9539
OTTMUST00000020442.1	noncoding	0.9548
OTTMUST00000005180.1	noncoding	0.9809
OTTMUST00000078422.1	noncoding	0.9923
OTTMUST00000136086.1	noncoding	0.9973
OTTMUST00000036059.1	noncoding	0.9492
OTTMUST00000144252.1	noncoding	0.9972
OTTMUST00000083148.2	noncoding	0.9064
OTTMUST00000146634.1	noncoding	0.9528
OTTMUST00000146309.1	noncoding	0.8543
OTTMUST00000043699.1	noncoding	0.8377
OTTMUST00000133860.1	noncoding	0.8657
OTTMUST00000142316.1	noncoding	0.9411
OTTMUST00000080980.4	noncoding	0.7911
OTTMUST00000117411.3	noncoding	0.6188
OTTMUST00000155028.1	noncoding	0.9749
OTTMUST00000124367.1	noncoding	0.9258
OTTMUST00000125591.1	noncoding	0.9261
OTTMUST00000128383.1	noncoding	0.9077
OTTMUST00000124934.1	noncoding	0.9835
OTTMUST00000138904.1	noncoding	0.8860
OTTMUST00000143131.1	noncoding	0.9908
OTTMUST00000144913.1	noncoding	0.8618
OTTMUST00000153203.1	noncoding	0.9444
OTTMUST00000148359.1	noncoding	0.9456
OTTMUST00000118736.1	noncoding	0.9727
OTTMUST00000128403.1	noncoding	0.9680
OTTMUST00000141697.1	noncoding	0.9371
OTTMUST00000152823.1	noncoding	0.9720
OTTMUST00000156905.1	noncoding	0.9090
OTTMUST00000123461.1	noncoding	0.9730
OTTMUST00000000738.1	noncoding	0.9654
OTTMUST00000146600.1	noncoding	0.9081
OTTMUST00000150634.1	noncoding	0.9578
OTTMUST00000042829.1	noncoding	0.8716
OTTMUST00000138424.1	noncoding	0.9240
OTTMUST00000124704.1	noncoding	0.9726
OTTMUST00000154780.1	noncoding	0.9852
OTTMUST00000135251.1	noncoding	0.9908
OTTMUST00000128163.2	noncoding	0.9833
OTTMUST00000114220.1	coding	0.1244
OTTMUST00000146183.1	noncoding	0.8903
OTTMUST00000121905.1	coding	0.3851
OTTMUST00000142078.1	noncoding	0.9806
OTTMUST00000142231.1	noncoding	0.9159
OTTMUST00000149862.1	noncoding	0.9376
OTTMUST00000036943.1	noncoding	0.9775
OTTMUST00000128116.1	noncoding	0.9764
OTTMUST00000128161.1	noncoding	0.9921
OTTMUST00000124474.1	noncoding	0.9834
OTTMUST00000035319.1	noncoding	0.9672
OTTMUST00000113879.1	noncoding	0.8770
OTTMUST00000001222.1	noncoding	0.9178
OTTMUST00000026015.1	noncoding	0.7875
OTTMUST00000119234.1	noncoding	0.9770
OTTMUST00000140535.1	noncoding	0.8993
OTTMUST00000080686.1	noncoding	0.9008
OTTMUST00000123504.1	noncoding	0.9674
OTTMUST00000113498.1	coding	0.3670
OTTMUST00000158997.1	noncoding	0.9708
OTTMUST00000121848.1	noncoding	0.9423
OTTMUST00000037288.1	noncoding	0.8118
OTTMUST00000122224.1	noncoding	0.9542
OTTMUST00000136493.2	noncoding	0.9458
OTTMUST00000119378.1	noncoding	0.9856
OTTMUST00000042646.1	noncoding	0.9260
OTTMUST00000144831.1	noncoding	0.9197
OTTMUST00000120509.1	noncoding	0.9517
OTTMUST00000113163.1	noncoding	0.9485
OTTMUST00000070698.1	noncoding	0.9376
OTTMUST00000131594.1	noncoding	0.9627
OTTMUST00000138228.1	noncoding	0.9949
OTTMUST00000120968.1	noncoding	0.8462
OTTMUST00000117998.2	noncoding	0.9435
OTTMUST00000080432.1	noncoding	0.9699
OTTMUST00000010514.1	noncoding	0.8324
OTTMUST00000087899.1	noncoding	0.9300
OTTMUST00000111516.1	noncoding	0.9801
OTTMUST00000084836.1	noncoding	0.6383
OTTMUST00000126432.1	noncoding	0.9839
OTTMUST00000119626.1	noncoding	0.9838
OTTMUST00000127432.1	noncoding	0.9812
OTTMUST00000144951.1	noncoding	0.9494
OTTMUST00000124465.1	noncoding	0.9817
OTTMUST00000119180.1	noncoding	0.9533
OTTMUST00000124822.1	noncoding	0.9530
OTTMUST00000159886.1	noncoding	0.8179
OTTMUST00000113825.1	noncoding	0.8691
OTTMUST00000145104.1	noncoding	0.9083
OTTMUST00000157404.1	noncoding	0.9691
OTTMUST00000124347.1	noncoding	0.9719
OTTMUST00000153553.1	noncoding	0.9265
OTTMUST00000117629.1	noncoding	0.9809
OTTMUST00000153182.1	noncoding	0.9356
OTTMUST00000148717.1	noncoding	0.9715
OTTMUST00000159398.1	noncoding	0.6481
OTTMUST00000134755.1	noncoding	0.9830
OTTMUST00000127210.1	noncoding	0.9720
OTTMUST00000018480.1	noncoding	0.9348
OTTMUST00000103482.1	noncoding	0.9932
OTTMUST00000113040.1	noncoding	0.7155
OTTMUST00000153274.1	noncoding	0.9413
OTTMUST00000007102.1	noncoding	0.8564
OTTMUST00000146302.1	noncoding	0.8807
OTTMUST00000112941.1	noncoding	0.9457
OTTMUST00000029552.1	noncoding	0.9479
OTTMUST00000037679.1	noncoding	0.9308
OTTMUST00000038025.1	noncoding	0.9300
OTTMUST00000129786.1	noncoding	0.9173
OTTMUST00000151802.1	noncoding	0.9747
OTTMUST00000112653.1	noncoding	0.9347
OTTMUST00000032592.1	noncoding	0.9389
OTTMUST00000136610.1	noncoding	0.9908
OTTMUST00000157135.1	noncoding	0.9495
OTTMUST00000114180.1	noncoding	0.8201
OTTMUST00000018102.1	noncoding	0.9760
OTTMUST00000148928.1	noncoding	0.9356
OTTMUST00000122035.1	noncoding	0.9720
OTTMUST00000139587.1	noncoding	0.9809
OTTMUST00000043593.1	noncoding	0.8391
OTTMUST00000144760.1	noncoding	0.8684
OTTMUST00000154785.1	noncoding	0.9642
OTTMUST00000113050.1	noncoding	0.7931
OTTMUST00000030758.1	noncoding	0.9016
OTTMUST00000133401.1	noncoding	0.9905
OTTMUST00000133859.1	noncoding	0.9089
OTTMUST00000146181.1	noncoding	0.9631
OTTMUST00000121441.1	noncoding	0.9851
OTTMUST00000128153.1	noncoding	0.9698
OTTMUST00000003192.1	noncoding	0.8736
OTTMUST00000123117.1	noncoding	0.9712
OTTMUST00000127740.2	noncoding	0.7577
OTTMUST00000152478.1	noncoding	0.8507
OTTMUST00000125605.1	noncoding	0.9536
OTTMUST00000118838.1	noncoding	0.9883
OTTMUST00000141556.1	noncoding	0.9227
OTTMUST00000046045.1	coding	0.2742
OTTMUST00000123137.1	noncoding	0.6537
OTTMUST00000125454.1	noncoding	0.9171
OTTMUST00000118524.1	noncoding	0.8215
OTTMUST00000037941.1	noncoding	0.9127
OTTMUST00000158266.1	noncoding	0.9234
OTTMUST00000138598.1	noncoding	0.8748
OTTMUST00000157426.1	noncoding	0.9488
OTTMUST00000157333.1	noncoding	0.9447
OTTMUST00000043385.1	noncoding	0.8232
OTTMUST00000055477.1	noncoding	0.9213
OTTMUST00000034846.1	noncoding	0.9639
OTTMUST00000036583.1	noncoding	0.9521
OTTMUST00000138850.1	noncoding	0.9686
OTTMUST00000017412.1	noncoding	0.9668
OTTMUST00000124363.1	noncoding	0.8268
OTTMUST00000124926.1	coding	0.2840
OTTMUST00000143484.1	noncoding	0.9693
OTTMUST00000130443.1	noncoding	0.9325
OTTMUST00000122486.1	noncoding	0.8395
OTTMUST00000127182.1	noncoding	0.9841
OTTMUST00000156755.1	noncoding	0.9615
OTTMUST00000147096.1	noncoding	0.9273
OTTMUST00000119615.1	noncoding	0.9899
OTTMUST00000037256.1	noncoding	0.8970
OTTMUST00000123072.1	noncoding	0.9650
OTTMUST00000112937.1	noncoding	0.9981
OTTMUST00000148259.1	noncoding	0.9599
OTTMUST00000142811.1	noncoding	0.9809
OTTMUST00000080979.4	noncoding	0.9490
OTTMUST00000145527.1	noncoding	0.9716
OTTMUST00000002198.1	noncoding	0.9830
OTTMUST00000125456.1	noncoding	0.8646
OTTMUST00000080011.1	noncoding	0.9718
OTTMUST00000145927.1	noncoding	0.9653
OTTMUST00000112566.1	noncoding	0.9760
OTTMUST00000158675.1	noncoding	0.9092
OTTMUST00000127455.1	noncoding	0.9833
OTTMUST00000152223.1	noncoding	0.9588
OTTMUST00000079755.1	noncoding	0.9318
OTTMUST00000113373.1	noncoding	0.8045
OTTMUST00000152496.1	noncoding	0.9432
OTTMUST00000038498.1	noncoding	0.9529
OTTMUST00000148254.1	noncoding	0.9458
OTTMUST00000037397.1	noncoding	0.8940
OTTMUST00000154317.1	noncoding	0.7342
OTTMUST00000119645.1	noncoding	0.9820
OTTMUST00000036958.1	noncoding	0.8857
OTTMUST00000157317.1	noncoding	0.8737
OTTMUST00000119187.1	noncoding	0.9313
OTTMUST00000134764.1	noncoding	0.9253
OTTMUST00000125776.1	noncoding	0.9777
OTTMUST00000120528.1	noncoding	0.8701
OTTMUST00000123870.1	noncoding	0.9690
OTTMUST00000140039.1	noncoding	0.9513
OTTMUST00000049641.1	noncoding	0.9790
OTTMUST00000095249.1	noncoding	0.9595
OTTMUST00000045606.1	noncoding	0.9075
OTTMUST00000135845.1	noncoding	0.9000
OTTMUST00000141447.1	noncoding	0.9236
OTTMUST00000118664.3	noncoding	0.9832
OTTMUST00000111052.2	noncoding	0.9155
OTTMUST00000117091.1	noncoding	0.9549
OTTMUST00000119949.1	noncoding	0.9830
OTTMUST00000148433.1	noncoding	0.9736
OTTMUST00000149204.2	noncoding	0.9256
OTTMUST00000126092.1	noncoding	0.9536
OTTMUST00000067841.1	noncoding	0.9389
OTTMUST00000123959.1	noncoding	0.9552
OTTMUST00000113743.1	noncoding	0.9695
OTTMUST00000039183.1	noncoding	0.7791
OTTMUST00000141992.1	noncoding	0.9649
OTTMUST00000118726.1	noncoding	0.9754
OTTMUST00000011798.1	noncoding	0.9149
OTTMUST00000153293.1	noncoding	0.8964
OTTMUST00000024993.1	noncoding	0.9820
OTTMUST00000134868.1	noncoding	0.9676
OTTMUST00000066497.1	coding	0.2648
OTTMUST00000153734.1	noncoding	0.9634
OTTMUST00000001289.1	noncoding	0.9728
OTTMUST00000111665.1	noncoding	0.8292
OTTMUST00000153562.1	noncoding	0.9563
OTTMUST00000121312.1	noncoding	0.9124
OTTMUST00000123021.1	noncoding	0.9401
OTTMUST00000113252.1	noncoding	0.8688
OTTMUST00000123594.1	noncoding	0.9530
OTTMUST00000125441.1	noncoding	0.9830
OTTMUST00000119956.1	noncoding	0.9801
OTTMUST00000034997.1	noncoding	0.9467
OTTMUST00000113395.1	noncoding	0.7308
OTTMUST00000131332.1	noncoding	0.9788
OTTMUST00000002490.1	noncoding	0.5532
OTTMUST00000135316.1	noncoding	0.9616
OTTMUST00000149142.1	noncoding	0.9692
OTTMUST00000012194.1	noncoding	0.9091
OTTMUST00000158187.1	noncoding	0.9387
OTTMUST00000032013.1	noncoding	0.8991
OTTMUST00000127314.1	noncoding	0.9672
OTTMUST00000047964.1	noncoding	0.9736
OTTMUST00000154228.1	noncoding	0.9808
OTTMUST00000010888.1	noncoding	0.9649
OTTMUST00000016669.1	noncoding	0.9559
OTTMUST00000142774.1	noncoding	0.8826
OTTMUST00000142777.1	noncoding	0.9578
OTTMUST00000146178.1	noncoding	0.9284
OTTMUST00000079924.1	coding	0.0145
OTTMUST00000125601.1	noncoding	0.9508
OTTMUST00000111086.2	noncoding	0.9655
OTTMUST00000150863.1	noncoding	0.8675
OTTMUST00000148455.1	noncoding	0.9398
OTTMUST00000006935.1	noncoding	0.9725
OTTMUST00000045246.2	noncoding	0.9601
OTTMUST00000004503.1	noncoding	0.9481
OTTMUST00000120145.1	noncoding	0.9800
OTTMUST00000141840.1	noncoding	0.9663
OTTMUST00000119210.1	noncoding	0.9521
OTTMUST00000120172.1	noncoding	0.7279
OTTMUST00000080177.2	noncoding	0.9994
OTTMUST00000154538.1	noncoding	0.8864
OTTMUST00000142149.1	noncoding	0.9788
OTTMUST00000127312.1	noncoding	0.9695
OTTMUST00000157499.1	noncoding	0.9442
OTTMUST00000154651.1	noncoding	0.9478
OTTMUST00000003986.3	noncoding	0.9396
OTTMUST00000127262.1	noncoding	0.9084
OTTMUST00000122399.1	noncoding	0.9726
OTTMUST00000159216.1	noncoding	0.9337
OTTMUST00000123878.1	noncoding	0.9762
